job_id,job_type,request,deliverable,proposed_score,proposal_rationale,operator_score
1003022926,market_overview,"{""name"":""market_overview"",""requirement"":{},""priceValue"":0.01,""priceType"":""fixed""}",https://acpx.virtuals.io/api/memo-contents/340493,5,deliverable is a memo-contents URL only; content behind link,
1003024715,market_overview,"{""name"":""market_overview"",""requirement"":{},""priceValue"":0.01,""priceType"":""fixed""}",https://acpx.virtuals.io/api/memo-contents/341175,5,memo-contents URL only,
1003026077,market_overview,"{""name"":""market_overview"",""requirement"":{},""priceValue"":0.01,""priceType"":""fixed""}",https://acpx.virtuals.io/api/memo-contents/341949,5,memo-contents URL only,
1003033871,market_overview,"{""name"":""market_overview"",""requirement"":{},""priceValue"":0.01,""priceType"":""fixed""}",https://acpx.virtuals.io/api/memo-contents/346399,5,memo-contents URL only,
1003138336,fund_startup,"{""name"":""fund_startup"",""requirement"":{},""priceValue"":10,""priceType"":""fixed"",""isPrivate"":false}","{""type"": ""fund_startup_result"", ""value"": {""message"": ""Thank you for your startup donation. Your support helps newly launched projects on [AGENT]. Donors are recorded and may have a chance to receive future airdrops (not guaranteed).""}}",7,donation acknowledged; empty requirement so little to conform to,
1003167856,fund_startup,"{""name"":""fund_startup"",""requirement"":{},""priceValue"":10,""priceType"":""fixed"",""isPrivate"":false}","{""type"": ""fund_startup_result"", ""value"": {""message"": ""Thank you for your startup donation. Your support helps newly launched projects on [AGENT]. Donors are recorded and may have a chance to receive future airdrops (not guaranteed).""}}",7,same,
1003168092,fund_startup,"{""name"":""fund_startup"",""requirement"":{},""priceValue"":10,""priceType"":""fixed"",""isPrivate"":false}","{""type"": ""fund_startup_result"", ""value"": {""message"": ""Thank you for your startup donation. Your support helps newly launched projects on [AGENT]. Donors are recorded and may have a chance to receive future airdrops (not guaranteed).""}}",7,same,
1003314011,perp_trade,"{""name"":""perp_trade"",""requirement"":{""action"":""close"",""pair"":""ETH""},""priceValue"":0.01,""priceType"":""fixed""}",https://acpx.virtuals.io/api/memo-contents/493315,5,memo-contents URL only,
1003335386,perp_trade,"{""name"":""perp_trade"",""requirement"":{""action"":""close"",""pair"":""xyz:BRENTOIL""},""priceValue"":0,""priceType"":""fixed""}",https://acpx.virtuals.io/api/memo-contents/499234,5,memo-contents URL only,
1003533924,transfer_token,"{""name"":""transfer_token"",""requirement"":{""tokenAddress"":""[ADDR]"",""targetAddress"":""[ADDR]"",""amount"":""71665.079230631945800886""},""priceValue"":0.1,""priceType"":""fixed"",""isPrivate"":false}","{""type"": ""transfer_token_result"", ""value"": {""amount"": ""71665.079230631945800886"", ""symbol"": ""SYNRO"", ""targetAddress"": ""[ADDR]"", ""tokenAddress"": ""[ADDR]"", ""transactionHash"": ""https://basescan.org/tx/[ADDR]1e75caab3748b328f568c790""}}",10,"transfer confirmed with tx hash, exact amount and symbol",
